,abbreviation,expansion,whole_set
365,ap,anterior-posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
366,ap,anterior/posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
367,ap,anteroposterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
368,ap,assessment and plan,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
369,ap&l,anteroposterior and lateral,"['anteroposterior and lateral', 'ap&l']"
370,apa,aldosterone-producing adenoma,"['aldosterone-producing adenoma', 'apa']"
371,apap,acetaminophen,"['acetaminophen', 'apap']"
372,apb,abductor pollicis brevis,"['abductor pollicis brevis', 'apb']"
373,apc,atrial premature contraction,"['apc', 'atrial premature contraction']"
374,apd,afferent pupillary defect,"['afferent pupillary defect', 'anteroposterior diameter', 'apd']"
375,apd,anteroposterior diameter,"['afferent pupillary defect', 'anteroposterior diameter', 'apd']"
376,apg,"affiliated physicians, inc.","['affiliated physicians', 'apg', 'inc.']"
377,apgar,"appearance, pulse, grimace, activity and respiration","['activity and respiration', 'after', 'and respiration', 'apgar', 'appearance', 'centre thickness', 'chol total cholesterol', 'current temperature', 'grimace', 'maximum temperature', 'p', 'pain', 'para', 'parasite', 'parasites', 'pending', 'phos', 'phosphate', 'phosphorus', 'phys', 'physical', 'physician', 'physics', 'po4', 'post', 'posterior', 'pregnancies', 'presentation', 'pulse', 't', 'taxotere/cytotan', 'taxotere/cytoxan', 'tc', 'technetium', 'temp-max', 'temperature', 'temperature maximum', 'temporomandibular', 'tenncare', 'th-cult', 'thought content', 'throat culture', 'thyromegaly', 'tm', 'tmax', 'tob', 'tobacco', 'total', 'total cholesterol', 'tpr', 'tracheostomy collar', 'trademark', 'transverse colon', 'trimester', 'tympanic membrane', 'type']"
378,apl,abductor pollicis longus,"['abductor pollicis longus', 'antiphospholipid antibodies', 'apl', 'iga anti-phospholipid antibodies']"
379,apl,antiphospholipid antibodies,"['abductor pollicis longus', 'antiphospholipid antibodies', 'apl', 'iga anti-phospholipid antibodies']"
380,apl,iga anti-phospholipid antibodies,"['abductor pollicis longus', 'antiphospholipid antibodies', 'apl', 'iga anti-phospholipid antibodies']"
381,apn,advanced practice nurse,"['advanced practice nurse', 'apn', 'apnea']"
382,apn,apnea,"['advanced practice nurse', 'apn', 'apnea']"
383,appt,activated partial thromboplastin time,"['activated partial thrombin time', 'activated partial thromboplastin time', 'appointment', 'appt', 'appt.', 'aptt']"
384,appt,appointment,"['activated partial thrombin time', 'activated partial thromboplastin time', 'appointment', 'appt', 'appt.', 'aptt']"
385,appt.,appointment,"['activated partial thrombin time', 'activated partial thromboplastin time', 'appointment', 'appt', 'appt.', 'aptt']"
386,appy,appendectomy,"['appendectomy', 'appy']"
387,apr,abdominal perineal resection,"['abdominal perineal resection', 'apr']"
388,aprn,advanced practice registered nurse,"['advanced practice registered nurse', 'aprn']"
389,aprx,approximately,"['approximately', 'aprx']"
390,aps,adult protective services,"['adult protective services', 'antiphospholipid syndrome', 'aps']"
391,aps,antiphospholipid syndrome,"['adult protective services', 'antiphospholipid syndrome', 'aps']"
392,aps-pt,anti-phosphatidylserine-prothrombin antibodies,"['anti-phosphatidylserine-prothrombin antibodies', 'aps-pt']"
393,apt,anti-prothrombin antibodies,"['anti-prothrombin antibodies', 'apt']"
394,aptt,activated partial thrombin time,"['activated partial thrombin time', 'activated partial thromboplastin time', 'appointment', 'appt', 'appt.', 'aptt']"
395,aptt,activated partial thromboplastin time,"['activated partial thrombin time', 'activated partial thromboplastin time', 'appointment', 'appt', 'appt.', 'aptt']"
396,aq,accomplishment quotient,"['accomplishment quotient', 'aq', 'aqueous']"
397,aq,aqueous,"['accomplishment quotient', 'aq', 'aqueous']"
398,aq.,water,"['aq.', 'h2o', 'water']"
399,aq. bull.,boiling water,"['aq. bull.', 'boiling water']"
400,aq. com.,common water,"['aq. com.', 'common water']"
401,aq. dest.,distilled water,"['aq. dest.', 'd.w', 'd/w', 'daily wear', 'discussed with', 'distilled water', 'dw']"
402,aq. ferv.,hot water,"['aq. ferv.', 'hot water']"
403,ar,acute rejection,"['acute rejection', 'allergic rhinitis', 'aortic regurgitation', 'ar']"
404,ar,allergic rhinitis,"['acute rejection', 'allergic rhinitis', 'aortic regurgitation', 'ar']"
405,ar,aortic regurgitation,"['acute rejection', 'allergic rhinitis', 'aortic regurgitation', 'ar']"
406,ara,american rheumatism association,"['american rheumatism association', 'ara']"
407,arb,angiotensin receptor blocker,"['angiotensin receptor blocker', 'arb']"
408,arbd,alcohol-related birth defects,"['alcohol-related birth defects', 'arbd']"
409,arbf,awaiting return of bowel function,"['arbf', 'awaiting return of bowel function']"
410,arc,aids related complex,"['aids related complex', 'anomalous retinal correspondence', 'arc']"
411,arc,anomalous retinal correspondence,"['aids related complex', 'anomalous retinal correspondence', 'arc']"
412,ard,adult refsum disease,"['adult refsum disease', 'ard']"
413,ards,acute respiratory distress syndrome,"['acute respiratory distress syndrome', 'adult respiratory distress syndrome', 'ards']"
414,ards,adult respiratory distress syndrome,"['acute respiratory distress syndrome', 'adult respiratory distress syndrome', 'ards']"
415,ardsnet,acute respiratory distress syndrome network,"['acute respiratory distress syndrome network', 'ardsnet']"
416,areds,age-related eye disease study,"['age-related eye disease study', 'areds']"
417,arf,acute renal failure,"['acute renal failure', 'acute rheumatic fever', 'arf']"
418,arf,acute rheumatic fever,"['acute renal failure', 'acute rheumatic fever', 'arf']"
419,arm,artificial rupture of membranes,"['active range of motion', 'arm', 'arom', 'artificial rupture of membranes']"
420,armd,age related macular degeneration,"['age related macular degeneration', 'armd']"
421,arms,alveolar rhabdomyosarcoma,"['alveolar rhabdomyosarcoma', 'arms']"
422,arnd,alcohol-related neurodevelopmental disorder,"['alcohol-related neurodevelopmental disorder', 'arnd']"
423,arom,active range of motion,"['active range of motion', 'arm', 'arom', 'artificial rupture of membranes']"
424,arom,artificial rupture of membranes,"['active range of motion', 'arm', 'arom', 'artificial rupture of membranes']"
425,arrom,active resistive range of motion,"['active resistive range of motion', 'arrom']"
426,art,arterial,"['art', 'arterial']"
427,as,ankylosing spondylitis,"['ankylosing spondylitis', 'aortic stenosis', 'as', 'asperger syndrome']"
428,as,aortic stenosis,"['ankylosing spondylitis', 'aortic stenosis', 'as', 'asperger syndrome']"
429,as,asperger syndrome,"['ankylosing spondylitis', 'aortic stenosis', 'as', 'asperger syndrome']"
430,asa,acetylsalicylic acid,"['acetylsalicylic acid', 'american society of anesthesiologists', 'asa', 'aspirin']"
431,asa,american society of anesthesiologists,"['acetylsalicylic acid', 'american society of anesthesiologists', 'asa', 'aspirin']"
432,asa,aspirin,"['acetylsalicylic acid', 'american society of anesthesiologists', 'asa', 'aspirin']"
433,asap,as soon as possible,"['as soon as possible', 'asap', 'asthma', 'sinus and allergy program', 'vanderbilt asthma', 'vasap']"
434,asap,"asthma, sinus and allergy program","['as soon as possible', 'asap', 'asthma', 'sinus and allergy program', 'vanderbilt asthma', 'vasap']"
435,asbmt,american society for blood and marrow transplantation,"['american society for blood and marrow transplantation', 'asbmt']"
436,ascvd,arteriosclerotic cardiovascular disease,"['acvd', 'arteriosclerotic cardiovascular disease', 'ascvd', 'atherosclerotic cardiovascular disease']"
437,ascvd,atherosclerotic cardiovascular disease,"['acvd', 'arteriosclerotic cardiovascular disease', 'ascvd', 'atherosclerotic cardiovascular disease']"
438,asd,atrial septal defect,"['asd', 'atrial septal defect', 'autism spectrum disorders']"
439,asd,autism spectrum disorders,"['asd', 'atrial septal defect', 'autism spectrum disorders']"
440,ashd,arteriosclerotic heart disease,"['arteriosclerotic heart disease', 'ashd']"
441,ashf,acute systolic heart failure,"['acute systolic heart failure', 'ashf']"
442,asis,anterior superior iliac spine,"['anterior superior iliac spine', 'asis']"
443,asma,anti-smooth muscle antibodies,"['anti-smooth muscle antibodies', 'asma']"
444,asmi,anteroseptal myocardial infarction,"['anteroseptal myocardial infarction', 'asmi']"
445,asn,antibody screen,"['ab-scr', 'antibody screen', 'asn']"
446,aso,antistreptolysin-o,"['antistreptolysin-o', 'antistreptolysin-o titer', 'aso']"
447,aso,antistreptolysin-o titer,"['antistreptolysin-o', 'antistreptolysin-o titer', 'aso']"
448,asp,aspart,"['asp', 'aspart', 'aspirin resistance']"
449,asp,aspirin resistance,"['asp', 'aspart', 'aspirin resistance']"
450,aspvd,arteriosclerotic peripheral vascular disease,"['arteriosclerotic peripheral vascular disease', 'aspvd']"
451,ass,african sleeping sickness,"['african sleeping sickness', 'ass']"
452,asst,assistance,"['assistance', 'assistant', 'assisted', 'asst']"
453,asst,assistant,"['assistance', 'assistant', 'assisted', 'asst']"
454,asst,assisted,"['assistance', 'assistant', 'assisted', 'asst']"
455,ast,aspartate aminotransferase,"['aspartate aminotransferase', 'aspartate transaminase', 'ast', 'atrial systolic tachycardia']"
456,ast,aspartate transaminase,"['aspartate aminotransferase', 'aspartate transaminase', 'ast', 'atrial systolic tachycardia']"
457,ast,atrial systolic tachycardia,"['aspartate aminotransferase', 'aspartate transaminase', 'ast', 'atrial systolic tachycardia']"
458,astig,astigmatism,"['astig', 'astigmatism']"
459,asu,ambulatory surgery unit,"['ambulatory surgery unit', 'asu']"
460,at,atrial tachycardia,"['at', 'atrial tachycardia']"
461,at iii,antithrombin-iii activity,"['antithrombin-iii activity', 'at iii']"
462,atc,around the clock,"['around the clock', 'atc']"
463,atfl,anterior talofibular ligament,"['anterior talofibular ligament', 'atfl']"
464,atg,antithymocyte globulin,"['antithymocyte globulin', 'atg']"
465,atn,acute tubular necrosis,"['acute tubular necrosis', 'atn']"
466,atnb,auriculotemporal nerve block,"['atnb', 'auriculotemporal nerve block']"
467,atp,adenosine triphosphate,"['adenosine triphosphate', 'atp']"
468,atv,all-terrain vehicle,"['all-terrain vehicle', 'atazanavir', 'atv']"
469,atv,atazanavir,"['all-terrain vehicle', 'atazanavir', 'atv']"
470,atv/c,atazanavir/cobicistat,"['atazanavir/cobicistat', 'atv/c']"
471,atv/r,atazanavir/ritonavir,"['atazanavir/ritonavir', 'atv/r']"
472,atylym,atypical lymphocytes,"['atylym', 'atypical lymphocytes']"
473,aua,american urological association,"['american urological association', 'aua']"
474,aud,auditory,"['aud', 'auditory']"
475,aud comp,auditory comprehension,"['aud comp', 'auditory comprehension']"
476,aus,auscultation,"['aus', 'auscultation']"
477,av,anteverted,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
478,av,aortic valve,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
479,av,arteriovenous,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
480,av,atrioventricular,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
481,avb,atrioventricular block,"['atrioventricular block', 'avb']"
482,avf,arteriovenous fistula,"['arteriovenous fistula', 'avf', 'f', 'fahrenheit', 'father', 'fe', 'female', 'fever', 'forced expiration', 'i', 'inspiration', 'intake', 'iron', 'total iron']"
483,avg,average,"['average', 'avg']"
484,avm,arteriovenous malformation,"['arteriovenous malformation', 'avm']"
485,avms,arteriovenous malformations,"['arteriovenous malformations', 'avms']"
486,avn,atrioventricular,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
487,avn,avascular necrosis,"['anteverted', 'aortic valve', 'arteriovenous', 'atrioventricular', 'av', 'avascular necrosis', 'avn']"
488,avnrt,atrioventricular nodal reentrant tachycardia,"['atrioventricular nodal reentrant tachycardia', 'avnrt']"
489,avoc,avocation,"['avoc', 'avocation']"
490,avr,aortic valve replacement,"['aortic valve replacement', 'augmented vector foot', 'augmented voltage right arm', 'avr']"
491,avr,augmented vector foot,"['aortic valve replacement', 'augmented vector foot', 'augmented voltage right arm', 'avr']"
492,avr,augmented voltage right arm,"['aortic valve replacement', 'augmented vector foot', 'augmented voltage right arm', 'avr']"
493,avs,arteriovenous shunt,"['arteriovenous shunt', 'avs']"
494,avsd,atrioventricular septal defect,"['atrioventricular septal defect', 'avsd']"
495,avss,"afebrile, vital signs stable","['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
496,ax,axillary,"['ax', 'axillary']"
497,axb,axillary block,"['axb', 'axillary block']"
498,axr,abdominal x-ray,"['abdominal x-ray', 'axr']"
499,aza,azathioprine,"['aza', 'azathioprine']"
500,b,b cell,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
501,b,basophils,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
502,b,beeper,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
503,b,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
504,b,bilaterally,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
505,b,black,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
506,b,blood type b,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
507,b,brain,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
508,b,brother,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
509,b,group b streptococcus,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
510,b,hepatitis b,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
511,b,toxin b,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
512,b,vitamin b,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
513,b&c,bed and chair,"['b&c', 'bed and chair', 'board and care']"
514,b&c,board and care,"['b&c', 'bed and chair', 'board and care']"
515,b-all,b-cell acute lymphoblastic leukaemia,"['b-all', 'b-cell acute lymphoblastic leukaemia']"
516,b-nhl,b-cell non-hodgkin lymphoma,"['b-cell non-hodgkin lymphoma', 'b-nhl']"
517,b.d.,twice daily,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
518,b.d.s.,twice daily,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
519,b.i.d.,twice a day,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
520,b.i.d.,twice daily,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
521,b.l,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
522,b.p,blood pressure,"['b.p', 'b/p', 'blood pressure', 'bp']"
523,b.t.,bedtime,"['b.t.', 'back transport', 'bedtime', 'birth', 'blalock-taussig', 'blalock-taussig shunt', 'bleeding time', 'bt']"
524,b/c,because,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
525,b/l,baseline,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
526,b/l,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
527,b/l,bilateral/bilaterally,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
528,b/p,blood pressure,"['b.p', 'b/p', 'blood pressure', 'bp']"
529,b1,thiamine,"['b1', 'thiamine']"
530,b12,cobalamin,"['b12', 'cobalamin', 'vit b12', 'vitamin b12']"
531,b12,vitamin b12,"['b12', 'cobalamin', 'vit b12', 'vitamin b12']"
532,ba,barium,"['ba', 'barium', 'bronchial asthma']"
533,ba,bronchial asthma,"['ba', 'barium', 'bronchial asthma']"
534,bab,babinski,"['bab', 'babinski']"
535,babs,absolute basophils,"['absolute basophils', 'babs']"
536,bact,bacteria,"['bact', 'bacteria']"
537,bad,benadryl ativan dexamethasone,"['bad', 'benadryl ativan dexamethasone']"
538,bae,barium enema,"['bacterial endocarditis', 'bae', 'barium enema', 'be', 'below elbow']"
539,baer,brainstem auditory evoked response,"['baer', 'brainstem auditory evoked response']"
540,baers,brainstem auditory evoked responses,"['baers', 'brainstem auditory evoked responses']"
541,bal,balance,"['bal', 'balance', 'bronchoalveolar lavage']"
542,bal,bronchoalveolar lavage,"['bal', 'balance', 'bronchoalveolar lavage']"
543,bas,barium swallow,"['barium swallow', 'bas']"
544,bas-g,bath ankylosing spondylitis patient global score,"['bas-g', 'bath ankylosing spondylitis patient global score']"
545,basdi,bath ankylosing spondylitis disease activity index,"['basdi', 'bath ankylosing spondylitis disease activity index']"
546,basfi,bath ankylosing spondylitis functional index,"['basfi', 'bath ankylosing spondylitis functional index']"
547,basmi,bath ankylosing spondylitis metrology index,"['basmi', 'bath ankylosing spondylitis metrology index']"
